Kind,Name,CountLineCode,Cyclomatic,RatioCommentToCode
File,"ExceptionTest.java",29,,"0.24"
File,"Executables.java",36,,"1.25"
File,"Executor.java",644,,"0.46"
File,"ExecutorListener.java",9,,"6.00"
File,"ExecutorTest.java",150,,"0.11"
File,"ExecutorsWidget.java",8,,"1.12"
File,"ExitLifecycle.java",33,,"1.00"
File,"ExpandableDetailsNote.java",36,,"0.92"
File,"ExpandableTextboxTest.java",124,,"0.27"
File,"ExpressionFactory2.java",126,,"0.25"
File,"ExtendedReadPermissionTest.java",63,,"0.10"
File,"Extension.java",20,,"4.40"
File,"ExtensionComponent.java",69,,"0.70"
File,"ExtensionComponentSet.java",56,,"0.98"
File,"ExtensionFilter.java",23,,"2.74"
File,"ExtensionFilterTest.java",34,,"0.12"
File,"ExtensionFinder.java",441,,"0.53"
File,"ExtensionFinderTest.java",108,,"0.36"
File,"ExtensionList.java",267,,"0.60"
File,"ExtensionListListener.java",4,,"9.00"
File,"ExtensionListListenerTest.java",26,,"1.19"
File,"ExtensionListTest.java",153,,"0.20"
File,"ExtensionListView.java",96,,"0.52"
File,"ExtensionPoint.java",11,,"4.09"
File,"ExtensionRefreshException.java",15,,"1.87"
File,"ExtensionTypeHierarchyTest.java",41,,"0.22"
File,"Failure.java",34,,"1.03"
File,"FakeMap.java",19,,"1.42"
File,"FakeMapBuilder.java",47,,"0.68"
File,"FederatedLoginService.java",95,,"1.59"
File,"FederatedLoginServiceUserProperty.java",23,,"1.43"
File,"FeedAdapter.java",10,,"5.70"
